Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
SP1,2002-09-21,La Coruna,Valladolid,2,0,H,2,0,H,1.364,3.75,8.0,1.4,4.0,7.75,1.35,4.0,7.0,,,,1.36,4.0,7.5,1.364,4.0,8.0,1.3,4.2,8.5,1.7,1.9,,
SP1,2002-09-21,Real Madrid,Osasuna,4,1,H,1,0,H,1.2,5.0,11.0,1.21,5.5,11.5,1.25,4.5,9.0,,,,1.22,5.0,11.0,1.222,5.0,11.0,1.2,5.0,11.0,1.55,2.15,,
SP1,2002-09-22,Malaga,Valencia,2,2,D,2,0,H,2.7,3.0,2.4,2.75,3.05,2.42,2.5,3.0,2.5,,,,2.75,3.0,2.38,2.75,3.1,2.4,2.62,3.1,2.4,1.9,1.7,,
SP1,2002-09-22,Mallorca,Ath Madrid,0,4,A,0,2,A,2.375,3.1,2.625,2.51,3.15,2.65,2.2,3.0,2.9,,,,2.38,3.0,2.75,2.375,3.1,2.75,2.37,3.1,2.62,1.75,1.85,,
SP1,2002-09-22,Recreativo,Celta,0,3,A,0,1,A,3.0,3.0,2.2,3.15,3.15,2.21,3.2,3.1,2.0,,,,3.0,3.1,2.2,3.0,3.1,2.2,2.87,3.0,2.25,1.95,1.8,,
SP1,2002-09-22,Sevilla,Ath Bilbao,1,1,D,0,0,D,1.909,3.25,3.4,2.01,3.15,3.65,1.9,3.1,3.5,,,,1.91,3.25,3.5,1.85,3.25,3.75,1.83,3.3,3.6,1.8,1.8,,
SP1,2002-09-22,Sociedad,Betis,3,3,D,1,2,A,2.25,3.2,2.75,2.32,3.15,2.8,2.2,3.0,2.9,,,,,,,2.3,3.2,2.7,2.2,3.1,2.87,1.85,1.75,,
SP1,2002-09-22,Vallecano,Santander,3,1,H,1,1,D,1.909,3.25,3.4,2.01,3.15,3.65,2.0,3.1,3.2,,,,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.1,3.6,1.85,1.95,,
SP1,2002-09-22,Villarreal,Alaves,0,1,A,0,1,A,2.1,3.0,3.2,2.1,3.1,3.3,2.0,3.1,3.2,,,,2.1,3.2,3.1,2.1,3.2,3.1,2.0,3.1,3.3,1.8,1.8,,
SP1,2002-09-28,Alaves,La Coruna,1,2,A,0,0,D,2.625,3.1,2.375,2.75,3.2,2.37,2.5,3.0,2.5,2.5,3.2,2.5,2.75,3.0,2.38,2.5,3.1,2.5,2.75,3.1,2.3,1.75,1.85,,
SP1,2002-09-28,Betis,Barcelona,3,0,H,1,0,H,2.75,3.25,2.2,2.58,3.15,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2.75,3.25,2.25,2.625,3.25,2.375,2.5,3.1,2.5,1.8,1.85,,
SP1,2002-09-28,Valladolid,Real Madrid,1,1,D,0,1,A,4.5,3.3,1.667,3.05,3.1,2.1,4.2,3.2,1.7,4.5,3.25,1.67,4.5,3.4,1.67,4.75,3.3,1.615,4.33,3.2,1.72,1.67,1.95,,
SP1,2002-09-29,Ath Bilbao,Mallorca,0,2,A,0,1,A,1.727,3.2,4.333,1.71,3.35,4.3,1.7,3.2,4.2,1.8,3.25,3.75,1.73,3.25,4.33,1.73,3.25,4.5,1.72,3.25,4.2,1.8,1.8,,
SP1,2002-09-29,Ath Madrid,Recreativo,1,1,D,1,1,D,1.364,3.75,8.0,1.38,3.9,8.0,1.4,3.9,6.0,1.33,4.0,8.0,1.36,3.75,8.5,1.36,4.0,8.5,1.36,3.75,8.0,1.65,1.95,,
SP1,2002-09-29,Celta,Malaga,2,2,D,2,2,D,1.615,3.25,5.0,1.66,3.35,4.98,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.25,5.0,1.67,3.25,5.0,1.57,3.5,5.0,1.65,1.95,,
SP1,2002-09-29,Espanol,Sevilla,0,0,D,0,0,D,2.1,3.0,3.2,2.13,3.2,3.1,2.1,2.9,3.2,2.2,3.25,2.75,2.2,3.0,3.1,2.2,3.2,3.0,2.0,3.1,3.3,1.9,1.7,,
SP1,2002-09-29,Osasuna,Sociedad,2,3,A,1,1,D,2.3,3.2,2.625,2.38,3.25,2.7,2.5,3.0,2.5,2.6,3.2,2.38,2.38,3.0,2.75,2.5,3.1,2.5,2.37,3.0,2.7,1.8,1.8,,
SP1,2002-09-29,Santander,Villarreal,1,1,D,0,0,D,1.833,3.2,3.75,1.98,3.4,3.75,2.1,2.9,3.2,2.0,3.2,3.2,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.2,3.5,1.9,1.7,,
SP1,2002-09-29,Valencia,Vallecano,3,0,H,2,0,H,1.286,4.5,8.0,1.36,4.5,9.0,1.3,4.2,8.0,1.36,3.75,8.0,1.33,4.0,8.5,1.33,4.2,8.5,1.28,4.5,8.0,1.7,1.95,,
SP1,2002-10-05,Recreativo,Ath Bilbao,1,2,A,0,0,D,2.5,3.0,2.625,2.45,3.25,2.6,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3.0,2.7,1.8,1.8,,
SP1,2002-10-06,Barcelona,Osasuna,2,2,D,2,2,D,1.286,4.5,8.0,1.27,4.85,10.5,1.2,5.0,10.0,1.25,4.5,10.0,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10.0,1.45,2.35,,
SP1,2002-10-06,La Coruna,Santander,0,2,A,0,1,A,1.333,4.0,8.0,1.33,4.5,9.25,1.3,4.2,8.0,1.3,4.0,9.0,1.3,4.33,8.5,1.3,4.333,9.5,1.28,4.33,8.5,1.65,1.95,,
SP1,2002-10-06,Malaga,Ath Madrid,3,1,H,1,0,H,2.1,3.2,3.0,2.18,3.2,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,3.0,2.1,3.1,3.1,1.7,1.9,,
SP1,2002-10-06,Mallorca,Espanol,2,0,H,0,0,D,1.909,3.2,3.5,2.05,3.2,3.45,1.9,3.1,3.5,1.83,3.2,3.75,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.0,3.75,1.8,1.8,,
SP1,2002-10-06,Real Madrid,Alaves,5,2,H,2,1,H,1.25,4.5,10.0,1.26,4.85,10.5,1.25,4.5,9.0,1.25,4.5,10.0,1.25,5.0,8.5,1.25,5.0,9.5,1.22,5.0,9.5,1.45,2.35,,
SP1,2002-10-06,Sevilla,Betis,1,1,D,0,1,A,2.75,3.2,2.25,2.98,3.16,2.25,3.0,2.9,2.2,2.88,3.0,2.25,2.75,3.0,2.38,3.0,3.0,2.25,2.9,2.8,2.37,1.8,1.8,,
SP1,2002-10-06,Sociedad,Valladolid,2,1,H,0,0,D,1.667,3.3,4.5,1.72,3.35,4.65,1.65,3.3,4.4,1.62,3.25,5.0,1.67,3.4,4.5,1.6,3.4,5.0,1.61,3.1,5.5,1.75,1.85,,
SP1,2002-10-06,Valencia,Celta,0,1,A,0,0,D,1.667,3.4,4.333,1.61,3.4,5.5,1.7,3.2,4.2,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.3,5.25,1.66,3.1,5.0,1.8,1.8,,
SP1,2002-10-06,Vallecano,Villarreal,2,2,D,1,2,A,1.909,3.2,3.5,2.06,3.2,3.3,1.9,3.1,3.5,1.8,3.2,4.0,1.91,3.2,3.6,2.0,3.2,3.4,1.9,3.0,3.75,1.75,1.85,,
SP1,2002-10-08,Betis,Real Madrid,1,1,D,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,
SP1,2002-10-19,Ath Madrid,Valencia,1,1,D,0,1,A,2.7,3.0,2.4,3.0,3.0,2.44,2.7,3.0,2.3,2.75,3.0,2.38,2.75,3.1,2.38,3.0,3.1,2.2,2.75,3.1,2.3,1.75,1.89,,
SP1,2002-10-19,Santander,Real Madrid,2,0,H,1,0,H,4.5,3.25,1.667,4.75,3.5,1.65,4.2,3.2,1.7,4.33,3.2,1.73,4.33,3.25,1.73,4.5,3.4,1.667,4.2,3.25,1.72,1.7,1.93,,
SP1,2002-10-19,Villarreal,La Coruna,3,1,H,0,1,A,3.0,3.0,2.2,,,,2.7,3.0,2.3,3.0,3.0,2.2,2.88,3.2,2.2,3.0,3.2,2.2,3.1,3.1,2.1,1.75,1.88,,
SP1,2002-10-20,Alaves,Sociedad,2,2,D,1,1,D,2.5,3.1,2.5,2.5,3.1,2.65,2.3,3.0,2.7,2.6,3.2,2.38,2.4,3.2,2.62,2.4,3.2,2.625,2.37,3.1,2.62,1.75,1.91,,
SP1,2002-10-20,Ath Bilbao,Malaga,1,1,D,1,0,H,2.3,3.2,2.625,2.51,3.15,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.25,3.1,2.8,1.75,1.95,,
SP1,2002-10-20,Betis,Mallorca,0,1,A,0,1,A,1.667,3.3,4.5,1.7,3.4,4.8,1.55,3.5,4.8,1.57,3.5,5.0,1.67,3.4,4.5,1.667,3.4,4.75,1.66,3.3,4.5,1.7,1.95,,
SP1,2002-10-20,Celta,Vallecano,0,1,A,0,1,A,1.444,3.6,6.5,1.41,4.0,7.2,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.444,3.75,7.0,1.4,3.6,7.5,1.65,2.1,,
SP1,2002-10-20,Espanol,Recreativo,2,0,H,0,0,D,1.667,3.3,4.5,1.7,3.35,4.9,1.65,3.3,4.4,1.67,3.25,4.5,1.73,3.25,4.5,1.727,3.25,4.5,1.72,3.25,4.2,1.85,1.8,,
SP1,2002-10-20,Osasuna,Sevilla,2,1,H,2,1,H,2.1,3.2,3.0,2.25,3.1,3.1,2.2,2.8,3.1,2.25,3.0,2.88,2.2,3.2,2.88,2.2,3.2,3.0,2.2,3.0,3.0,1.92,1.75,,
SP1,2002-10-20,Valladolid,Barcelona,2,1,H,0,0,D,3.25,3.4,1.909,3.4,3.15,2.15,3.2,3.1,2.0,3.0,3.2,2.1,3.1,3.25,2.1,3.2,3.25,2.0,3.1,3.1,2.1,1.72,1.95,,
SP1,2002-10-26,Barcelona,Alaves,6,1,H,4,0,H,1.4,3.75,7.0,1.45,4.0,7.75,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.55,2.15,,
SP1,2002-10-26,Celta,Ath Madrid,0,0,D,0,0,D,1.727,3.2,4.333,1.87,3.25,4.15,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.2,4.33,1.75,3.2,4.333,1.66,3.3,4.5,1.65,1.95,,
SP1,2002-10-26,Real Madrid,Villarreal,1,1,D,1,1,D,1.25,4.5,10.0,1.27,5.0,10.1,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,10.0,1.25,4.75,10.0,1.2,5.0,11.0,1.5,2.25,,
SP1,2002-10-26,Recreativo,Betis,1,1,D,0,1,A,3.2,3.2,2.0,3.6,3.15,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.4,3.1,2.0,3.5,3.1,1.95,3.4,3.0,2.0,1.75,1.85,,
SP1,2002-10-26,Valencia,Ath Bilbao,5,1,H,4,0,H,1.4,3.75,7.0,1.48,4.0,7.75,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.7,1.9,,
SP1,2002-10-26,Vallecano,La Coruna,1,2,A,0,1,A,2.625,3.2,2.3,2.85,3.0,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.8,3.1,2.3,2.625,3.1,2.375,2.87,3.0,2.25,1.75,1.85,,
SP1,2002-10-27,Malaga,Espanol,3,4,A,3,1,H,1.727,3.2,4.333,1.7,3.5,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.2,4.5,1.667,3.2,5.0,1.72,3.25,4.2,1.7,1.9,,
SP1,2002-10-27,Mallorca,Osasuna,2,0,H,0,0,D,1.8,3.1,4.0,1.8,3.2,4.25,1.8,3.1,3.8,1.53,3.4,5.5,1.73,3.2,4.5,1.727,3.2,4.5,1.61,3.3,5.0,1.7,1.9,,
SP1,2002-10-27,Sevilla,Valladolid,2,1,H,2,0,H,2.1,3.2,3.0,2.05,3.1,3.4,2.0,2.9,3.4,2.1,3.2,3.0,2.1,3.0,3.3,2.1,3.0,3.3,2.0,3.1,3.3,1.9,1.7,,
SP1,2002-10-27,Sociedad,Santander,2,1,H,0,1,A,1.727,3.2,4.333,1.76,3.3,4.35,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.2,4.33,1.727,3.2,4.5,1.72,3.1,4.5,1.7,1.9,,
SP1,2002-11-02,Ath Madrid,Vallecano,2,0,H,1,0,H,1.727,3.2,4.333,1.75,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,
SP1,2002-11-02,La Coruna,Real Madrid,0,0,D,0,0,D,2.375,3.1,2.625,2.5,3.15,2.6,2.3,3.0,2.7,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.2,2.625,2.4,3.1,2.6,1.65,1.95,,
SP1,2002-11-02,Valladolid,Mallorca,1,3,A,1,1,D,2.1,3.2,3.0,2.1,3.15,3.25,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.1,3.1,1.8,1.8,,
SP1,2002-11-03,Alaves,Sevilla,1,0,H,0,0,D,2.0,3.0,3.4,2.0,3.2,3.45,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.4,2.0,3.0,3.4,1.85,1.75,,
SP1,2002-11-03,Ath Bilbao,Celta,2,1,H,0,1,A,2.5,3.1,2.5,2.6,3.15,2.5,2.5,3.0,2.5,2.6,3.2,2.38,2.62,3.2,2.38,2.625,3.1,2.5,2.62,2.9,2.5,1.85,1.75,,
SP1,2002-11-03,Betis,Malaga,3,0,H,0,0,D,1.8,3.1,4.0,1.91,3.2,3.8,1.85,3.0,3.8,1.73,3.2,4.33,1.83,3.25,3.75,1.833,3.25,4.0,1.72,3.2,4.33,1.8,1.8,,
SP1,2002-11-03,Espanol,Valencia,0,1,A,0,0,D,3.0,3.0,2.2,3.15,3.15,2.15,2.7,3.0,2.3,3.2,3.0,2.1,3.1,3.2,2.1,3.1,3.2,2.15,3.1,3.1,2.1,1.8,1.8,,
SP1,2002-11-03,Osasuna,Recreativo,0,1,A,0,0,D,1.727,3.2,4.333,1.76,3.35,4.6,1.7,3.2,4.2,1.62,3.25,5.0,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,
SP1,2002-11-03,Santander,Barcelona,1,1,D,1,0,H,3.0,3.2,2.1,3.0,3.15,2.22,3.1,3.0,2.1,2.75,3.2,2.25,2.62,3.2,2.38,3.2,3.2,2.1,2.8,2.2,2.25,1.75,1.85,,
SP1,2002-11-03,Villarreal,Sociedad,0,1,A,0,1,A,2.5,3.1,2.5,2.4,3.15,2.75,2.3,2.9,2.8,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.1,2.7,2.4,3.0,2.7,1.65,1.95,,
SP1,2002-11-09,Barcelona,Villarreal,1,0,H,0,0,D,1.36,3.75,8.0,1.35,4.35,7.5,1.35,4.0,7.0,1.33,4.0,8.0,1.4,4.0,6.5,1.333,4.333,8.0,1.36,3.75,8.0,1.5,2.25,,
SP1,2002-11-09,Malaga,Osasuna,1,0,H,0,0,D,1.57,3.5,5.0,1.59,3.5,5.72,1.65,3.3,4.4,1.62,3.25,5.0,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.3,5.5,1.65,1.95,,
SP1,2002-11-09,Sociedad,La Coruna,1,1,D,1,1,D,2.25,3.2,2.75,2.4,3.18,3.03,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.7,1.73,1.91,,
SP1,2002-11-09,Valencia,Betis,1,1,D,0,0,D,1.66,3.3,4.5,1.73,3.4,4.62,1.75,3.2,4.0,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.3,4.5,1.72,3.2,4.33,1.86,1.86,,
SP1,2002-11-09,Vallecano,Real Madrid,2,3,A,1,1,D,3.75,3.3,1.8,4.5,3.51,1.7,4.4,3.3,1.65,4.33,3.2,1.73,4.5,3.4,1.67,4.75,3.4,1.667,4.5,3.3,1.66,1.75,2.0,,
SP1,2002-11-10,Ath Madrid,Ath Bilbao,3,3,D,1,0,H,1.72,3.2,4.33,1.79,3.51,4.6,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.8,3.3,4.0,1.8,3.1,4.0,1.83,1.83,,
SP1,2002-11-10,Celta,Espanol,1,0,H,1,0,H,1.57,3.5,5.0,1.65,3.43,5.4,1.6,3.4,4.6,1.67,3.25,4.5,1.57,3.4,5.5,1.6,3.4,5.5,1.66,3.1,5.0,1.73,1.93,,
SP1,2002-11-10,Mallorca,Alaves,3,1,H,1,0,H,1.66,3.3,4.5,1.71,3.48,4.55,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.25,4.5,1.61,3.3,5.0,1.83,1.83,,
SP1,2002-11-10,Recreativo,Valladolid,1,3,A,0,2,A,2.3,3.2,2.62,2.32,3.2,2.8,2.3,2.9,2.8,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3.0,2.8,,,,
SP1,2002-11-10,Sevilla,Santander,1,0,H,1,0,H,2.1,3.2,3.0,2.1,3.2,3.2,2.1,2.8,3.3,2.2,3.2,2.8,2.1,3.0,3.25,2.1,3.1,3.25,2.1,3.0,3.2,1.93,1.73,,
SP1,2002-11-16,La Coruna,Barcelona,2,0,H,0,0,D,2.2,3.0,3.0,2.18,3.2,3.12,2.1,3.0,3.1,2.25,3.2,2.75,2.1,3.2,3.1,2.25,3.2,2.875,2.2,3.1,2.87,1.7,1.9,1.61,2.2
SP1,2002-11-16,Villarreal,Sevilla,1,0,H,0,0,D,2.0,3.2,3.2,2.0,3.15,3.45,1.9,3.0,3.6,2.1,3.0,3.2,2.0,3.1,3.4,2.05,3.1,3.4,2.0,3.0,3.4,1.95,1.65,2.0,1.72
SP1,2002-11-17,Alaves,Recreativo,3,0,H,2,0,H,1.667,3.3,4.5,1.63,3.45,5.44,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.4,5.0,1.615,3.4,5.0,1.66,3.1,5.0,1.9,1.7,1.8,1.9
SP1,2002-11-17,Ath Bilbao,Vallecano,2,1,H,0,1,A,1.8,3.3,3.75,1.8,3.3,4.15,1.75,3.2,4.0,1.73,3.2,4.33,1.8,3.25,4.0,1.833,3.25,4.0,1.8,3.25,3.8,1.8,1.8,1.8,1.9
SP1,2002-11-17,Betis,Celta,2,1,H,0,0,D,2.0,3.0,3.5,2.0,3.2,3.68,1.9,3.1,3.5,1.91,3.2,3.5,2.0,3.2,3.4,2.0,3.2,3.4,1.9,3.1,3.6,1.85,1.75,2.0,1.72
SP1,2002-11-17,Espanol,Ath Madrid,1,2,A,0,0,D,2.3,3.1,2.7,2.28,3.15,2.85,2.3,2.8,2.9,2.38,3.2,2.6,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.75,1.9,1.7,1.9,1.8
SP1,2002-11-17,Osasuna,Valencia,1,0,H,1,0,H,3.75,3.3,1.8,4.25,3.25,1.88,3.6,3.0,1.9,4.33,3.0,1.8,4.0,3.2,1.8,4.0,3.2,1.85,4.0,3.1,1.8,1.8,1.8,1.9,1.8
SP1,2002-11-17,Real Madrid,Sociedad,0,0,D,0,0,D,1.533,3.4,5.5,1.55,3.6,6.2,1.55,3.4,5.0,1.53,3.5,5.5,1.5,3.5,6.0,1.533,3.5,6.0,1.53,3.4,5.5,1.55,2.1,1.61,2.2
SP1,2002-11-17,Santander,Mallorca,1,2,A,1,1,D,2.4,3.0,2.7,2.45,3.2,2.65,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.75,2.375,3.1,2.75,2.5,2.9,2.62,1.9,1.7,1.9,1.8
SP1,2002-11-17,Valladolid,Malaga,0,0,D,0,0,D,2.2,3.25,2.75,2.25,3.2,2.88,2.1,3.0,3.1,2.2,3.2,2.8,2.2,3.2,2.8,2.2,3.25,2.9,2.2,3.0,3.0,1.75,1.85,1.9,1.8
SP1,2002-11-23,Barcelona,Real Madrid,0,0,D,0,0,D,2.3,3.0,2.8,2.45,3.1,2.88,2.0,3.0,3.3,2.38,3.0,2.75,2.38,3.0,2.75,2.375,3.0,2.8,2.3,3.1,2.75,1.72,1.95,1.8,1.9
SP1,2002-11-23,Sevilla,La Coruna,1,1,D,1,0,H,2.875,3.0,2.25,2.9,3.15,2.25,3.1,3.0,2.1,2.75,3.0,2.38,2.88,3.1,2.25,2.875,3.1,2.25,2.87,3.1,2.2,1.9,1.7,1.9,1.8
SP1,2002-11-23,Vallecano,Sociedad,0,0,D,0,0,D,2.875,3.0,2.25,2.75,3.15,2.37,2.7,2.9,2.4,2.6,3.2,2.38,2.63,3.2,2.38,2.7,3.2,2.3,2.75,3.1,2.3,,,1.72,2.0
SP1,2002-11-24,Ath Bilbao,Espanol,4,1,H,1,1,D,1.727,3.2,4.333,1.85,3.36,3.9,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.4,4.0,1.83,1.83,1.9,1.8
SP1,2002-11-24,Ath Madrid,Betis,1,0,H,1,0,H,2.25,3.2,2.75,2.34,3.15,2.85,2.2,2.7,3.2,2.38,3.0,2.75,2.3,3.0,2.88,2.3,3.0,2.875,2.4,2.9,2.75,1.85,1.75,1.8,1.9
SP1,2002-11-24,Celta,Osasuna,0,0,D,0,0,D,1.5,3.4,6.0,1.53,3.75,6.0,1.45,3.6,5.8,1.57,3.25,5.5,1.5,3.5,6.0,1.5,3.5,6.0,1.44,3.6,6.5,1.78,1.85,1.9,1.8
SP1,2002-11-24,Malaga,Alaves,0,0,D,0,0,D,1.667,3.25,4.5,1.8,3.25,4.1,1.75,3.1,4.2,1.62,3.25,5.0,1.73,3.25,4.33,1.75,3.25,4.2,1.8,3.25,3.8,1.7,1.95,1.72,2.0
