Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,2000-10-22,Santander,Numancia,4,2,H,2,1,H,1.95,3.2,3.45,1.75,3.1,3.6,1.9,3.2,3.5,1.91,3.2,3.6,1.83,3.2,3.75
SP1,2000-10-22,Valladolid,Osasuna,1,1,D,1,1,D,1.66,3.25,4.7,1.6,3.2,4.2,1.6,3.25,5.0,1.67,3.25,4.75,,,
SP1,2000-10-28,Las Palmas,Santander,2,1,H,1,0,H,2.0,3.15,3.35,1.9,2.9,3.2,2.0,3.2,3.2,1.9,3.1,3.4,1.83,3.2,3.75
SP1,2000-10-28,Mallorca,Barcelona,2,0,H,1,0,H,3.65,3.0,1.95,3.0,2.9,2.0,3.75,3.25,1.8,3.6,3.2,1.91,3.5,3.2,1.9
SP1,2000-10-28,Numancia,La Coruna,1,2,A,0,2,A,2.8,3.05,2.3,2.7,2.9,2.2,3.0,3.2,2.1,2.88,3.1,2.25,3.0,3.0,2.2
SP1,2000-10-28,Villarreal,Ath Bilbao,0,0,D,0,0,D,2.25,2.9,3.0,2.1,2.9,2.9,2.2,3.25,2.75,2.0,3.2,3.2,2.1,3.0,3.2
SP1,2000-10-28,Zaragoza,Malaga,1,1,D,0,0,D,1.9,3.2,3.45,1.8,3.0,3.5,2.0,3.2,3.2,1.83,3.2,3.75,1.9,3.2,3.5
SP1,2000-10-29,Celta,Valladolid,2,1,H,1,0,H,1.7,3.1,4.7,1.7,3.1,3.8,1.6,3.25,5.0,1.6,3.3,5.0,1.61,3.25,5.0
SP1,2000-10-29,Espanol,Oviedo,2,0,H,1,0,H,1.95,3.15,3.45,1.8,3.0,3.5,1.7,3.4,4.0,1.75,3.2,3.75,1.8,3.25,3.75
SP1,2000-10-29,Osasuna,Valencia,1,2,A,1,1,D,3.4,3.1,2.0,3.0,2.9,2.0,3.75,3.2,1.85,3.5,3.2,1.95,,,
SP1,2000-10-29,Sociedad,Real Madrid,1,4,A,0,2,A,3.55,3.05,1.95,3.1,3.0,1.9,3.75,3.25,1.8,3.75,3.25,1.8,3.75,3.2,1.83
SP1,2000-10-29,Vallecano,Alaves,0,1,A,0,1,A,2.05,3.0,3.4,1.9,2.9,3.2,2.1,3.2,3.0,1.9,3.1,3.75,1.83,3.2,3.75
SP1,2000-10-31,La Coruna,Las Palmas,4,0,H,1,0,H,1.31,4.0,8.1,1.3,4.0,7.0,1.3,4.0,8.0,1.36,4.0,7.5,1.33,4.0,8.0
SP1,2000-11-01,Alaves,Sociedad,0,1,A,0,0,D,1.66,3.15,4.8,1.8,3.0,3.5,1.6,3.25,5.0,1.5,3.4,5.5,1.53,3.25,6.0
SP1,2000-11-01,Ath Bilbao,Zaragoza,1,2,A,0,1,A,1.85,3.15,3.9,1.8,3.0,3.5,1.65,3.25,4.5,1.73,3.25,4.33,1.8,3.1,4.0
SP1,2000-11-01,Barcelona,Numancia,1,1,D,0,0,D,1.2,4.7,10.0,1.2,4.7,9.0,1.2,5.0,11.0,1.25,4.8,9.0,1.25,4.5,10.0
SP1,2000-11-01,Malaga,Osasuna,3,1,H,2,1,H,1.8,3.15,4.0,1.7,3.2,3.6,1.6,3.5,4.5,1.73,3.3,4.2,,,
SP1,2000-11-01,Oviedo,Vallecano,4,1,H,2,1,H,2.25,3.2,2.8,2.1,2.9,2.9,2.6,3.2,2.35,2.3,3.2,2.7,2.3,3.1,2.75
SP1,2000-11-01,Real Madrid,Mallorca,0,2,A,0,0,D,1.3,4.3,8.0,1.2,4.7,9.0,1.3,4.3,8.0,1.3,4.5,8.0,1.28,4.5,8.0
SP1,2000-11-01,Santander,Villarreal,3,1,H,2,0,H,1.95,3.2,3.3,1.8,3.0,3.5,1.85,3.2,3.75,1.91,3.2,3.5,2.0,3.2,3.2
SP1,2000-11-01,Valencia,Celta,1,0,H,0,0,D,1.66,3.25,4.7,1.6,3.2,4.2,1.55,3.5,5.0,1.53,3.4,5.5,1.61,3.25,5.0
SP1,2000-11-01,Valladolid,Espanol,1,1,D,0,1,A,1.95,3.15,3.5,1.7,3.1,3.8,1.9,3.2,3.5,1.9,3.2,3.6,1.9,3.1,3.6
SP1,2000-11-04,Celta,Malaga,1,0,H,0,0,D,1.6,3.5,4.8,1.5,3.4,4.7,1.55,3.5,5.0,1.6,3.3,5.0,1.53,3.4,5.5
SP1,2000-11-04,Espanol,Valencia,1,0,H,0,0,D,3.0,3.05,2.2,2.7,2.9,2.2,3.0,3.2,2.1,3.1,3.1,2.1,3.2,3.0,2.1
SP1,2000-11-04,Las Palmas,Barcelona,0,1,A,0,0,D,3.25,3.1,2.05,3.0,2.9,2.0,3.2,3.2,2.0,3.75,3.2,1.83,3.2,3.2,2.0
SP1,2000-11-04,Numancia,Real Madrid,3,1,H,2,1,H,3.75,3.05,1.9,3.2,2.9,1.9,4.0,3.4,1.7,3.75,3.2,1.83,3.75,3.2,1.83
SP1,2000-11-04,Villarreal,La Coruna,3,2,H,1,1,D,2.9,3.1,2.2,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.1,3.4,3.0,2.0
SP1,2000-11-05,Alaves,Oviedo,4,0,H,2,0,H,1.66,3.2,5.0,1.6,3.2,4.2,1.6,3.25,5.0,1.57,3.3,5.5,1.57,3.25,5.5
SP1,2000-11-05,Osasuna,Ath Bilbao,1,1,D,0,1,A,2.3,3.0,2.9,2.2,2.8,2.8,2.35,3.2,2.6,2.25,3.0,2.88,,,
SP1,2000-11-05,Sociedad,Mallorca,0,1,A,0,0,D,2.3,3.1,2.8,2.0,2.9,3.0,2.35,3.2,2.6,2.3,3.1,2.7,2.37,2.9,2.75
SP1,2000-11-05,Vallecano,Valladolid,2,1,H,1,0,H,1.85,3.05,4.0,1.85,2.9,3.4,1.8,3.2,4.0,1.83,2.9,4.33,1.72,3.1,4.5
SP1,2000-11-05,Zaragoza,Santander,2,0,H,1,0,H,1.8,3.2,4.0,1.75,3.1,3.6,1.85,3.2,3.75,1.7,3.2,4.2,1.72,3.2,4.33
SP1,2000-11-11,La Coruna,Zaragoza,2,0,H,1,0,H,1.5,3.65,5.5,1.45,3.5,5.0,1.45,3.6,6.5,1.4,3.6,6.5,1.5,3.4,6.0
SP1,2000-11-12,Ath Bilbao,Celta,2,1,H,1,1,D,2.3,3.0,2.9,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.75
SP1,2000-11-12,Barcelona,Villarreal,1,2,A,1,1,D,1.28,4.25,9.5,1.25,4.3,8.0,1.25,4.5,10.0,1.25,4.6,10.0,1.28,4.5,8.0
SP1,2000-11-12,Malaga,Espanol,0,0,D,0,0,D,2.05,3.1,3.3,2.1,2.9,2.9,2.0,3.2,3.2,2.05,3.1,3.25,1.9,3.2,3.5
SP1,2000-11-12,Mallorca,Numancia,2,1,H,2,0,H,1.65,3.35,4.65,1.6,3.2,4.2,1.5,3.4,6.0,1.55,3.4,5.25,1.61,3.25,5.0
SP1,2000-11-12,Oviedo,Sociedad,1,0,H,0,0,D,1.85,3.15,3.9,1.9,3.0,3.1,1.9,3.25,3.4,1.75,3.25,4.2,1.8,3.3,3.75
SP1,2000-11-12,Real Madrid,Las Palmas,5,1,H,2,1,H,1.25,4.7,10.0,1.2,4.7,9.0,1.3,4.5,8.0,1.25,4.6,10.0,1.28,4.5,8.0
