Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
SP1,2004-09-19,Sevilla,Levante,3,0,H,1,0,H,1.72,3.25,4.33,1.7,3.4,4.55,1.75,3.35,4.8,1.75,3.2,4.0,1.62,3.25,5.0,1.67,3.4,4.8,1.61,3.3,5.0,1.95,1.75,2.05,1.75,2.15,1.65,-1.0,1.94,1.9,-0.75,1.95,1.95,-0.75,,,,,
SP1,2004-09-19,Zaragoza,Albacete,4,3,H,1,2,A,1.72,3.25,4.33,1.8,3.3,4.1,1.77,3.3,4.75,1.85,3.1,3.6,1.57,3.5,5.0,1.73,3.25,4.5,1.7,3.3,4.33,1.95,1.75,2.05,1.75,2.15,1.65,-1.0,1.84,2.0,-0.75,1.9,2.0,-0.75,,,,,
SP1,2004-09-21,Real Madrid,Osasuna,1,0,H,0,0,D,1.44,3.75,6.5,1.4,4.0,7.0,1.42,4.25,7.0,1.4,3.9,6.0,1.36,4.0,7.0,1.44,4.2,6.0,1.4,3.75,7.0,1.65,2.05,1.8,2.0,1.85,1.85,-1.0,2.12,1.72,-1.25,1.9,2.0,-1.0,,,,,
SP1,2004-09-22,Albacete,Mallorca,0,0,D,0,0,D,2.25,3.2,2.8,2.4,3.1,2.75,2.35,3.2,2.9,2.1,3.0,3.1,2.25,3.2,2.75,2.38,3.1,2.8,2.37,3.1,2.62,1.85,1.85,1.95,1.85,1.7,2.05,0.0,2.0,1.84,-0.25,1.975,1.925,-0.25,,,,,
SP1,2004-09-22,Betis,Ath Bilbao,2,1,H,1,1,D,2.3,3.2,2.7,2.2,3.2,3.0,2.3,3.2,3.0,2.2,2.9,3.0,2.25,3.2,2.75,2.3,3.1,2.9,2.25,3.2,2.75,1.85,1.85,2.05,1.75,1.7,2.05,0.0,2.06,1.78,-0.25,2.1,1.8,-0.25,,,,,
SP1,2004-09-22,Getafe,Espanol,1,0,H,1,0,H,2.62,3.2,2.37,2.65,3.25,2.35,2.85,3.2,2.4,2.8,2.9,2.3,2.75,3.2,2.25,2.75,3.2,2.38,2.6,3.1,2.4,1.95,1.75,2.05,1.75,2.3,1.55,-0.25,2.12,1.72,0.0,2.125,1.775,0.0,,,,,
SP1,2004-09-22,La Coruna,Valencia,1,5,A,0,4,A,2.4,3.2,2.6,2.5,3.1,2.65,2.4,3.2,2.85,2.2,3.0,2.9,2.38,3.0,2.75,2.4,3.1,2.8,2.4,3.1,2.6,1.9,1.8,2.05,1.75,2.05,1.7,-0.25,1.84,2.0,0.0,1.875,2.025,0.0,,,,,
SP1,2004-09-22,Levante,Ath Madrid,1,0,H,1,0,H,2.62,3.2,2.37,2.8,3.15,2.35,2.75,3.25,2.4,2.8,2.9,2.3,2.6,3.2,2.38,2.75,3.2,2.38,2.6,3.1,2.4,1.9,1.8,2.0,1.8,1.77,2.1,0.25,1.78,2.06,0.25,1.775,2.125,0.25,,,,,
SP1,2004-09-22,Malaga,Numancia,4,1,H,3,0,H,1.8,3.2,4.0,1.85,3.2,4.0,1.8,3.3,4.5,1.85,3.0,3.8,1.73,3.2,4.33,1.83,3.1,4.33,1.8,3.1,4.0,1.8,1.9,2.05,1.75,1.55,2.3,-0.25,1.8,2.04,-0.5,1.875,2.025,-0.5,,,,,
SP1,2004-09-22,Sociedad,Santander,0,1,A,0,1,A,1.8,3.2,4.0,1.7,3.4,4.5,1.8,3.3,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.2,4.33,1.8,3.3,3.75,1.85,1.85,1.95,1.85,2.05,1.7,-0.75,1.86,1.98,-0.5,1.925,1.975,-0.5,,,,,
SP1,2004-09-22,Villarreal,Sevilla,0,0,D,0,0,D,2.2,3.2,2.87,1.95,3.3,3.5,2.1,3.25,3.4,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.25,2.1,3.2,3.0,1.95,1.75,2.0,1.8,1.6,2.2,0.0,1.88,1.96,-0.25,1.925,1.975,-0.25,,,,,
SP1,2004-09-23,Barcelona,Zaragoza,4,1,H,1,1,D,1.33,4.0,8.5,1.3,4.5,9.0,1.33,4.5,9.0,1.3,4.2,8.0,1.33,4.0,8.0,1.33,4.33,8.5,1.36,3.75,8.0,1.65,2.05,1.75,2.05,1.73,2.0,-1.25,1.94,1.9,-1.5,2.0,1.9,-1.5,,,,,
SP1,2004-09-25,Ath Bilbao,Real Madrid,2,1,H,2,0,H,3.0,3.25,2.3,3.2,3.2,2.1,3.1,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,3.0,3.2,2.2,2.75,3.2,2.25,1.75,1.95,1.9,1.9,1.9,1.95,0.25,1.92,1.92,0.25,1.95,1.95,0.25,,,,,
SP1,2004-09-25,Ath Madrid,Villarreal,1,0,H,1,0,H,1.8,3.25,4.0,1.75,3.35,4.3,1.87,3.25,4.15,1.85,3.1,3.6,1.67,3.25,4.5,1.8,3.2,4.33,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.6,2.2,-0.25,2.06,1.78,-0.75,1.9,2.0,-0.5,,,,,
SP1,2004-09-25,La Coruna,Betis,1,1,D,0,0,D,1.66,3.4,4.5,1.55,3.55,5.7,1.67,3.4,5.25,1.65,3.3,4.4,1.62,3.25,5.0,1.62,3.4,5.5,1.66,3.3,4.5,1.85,1.85,1.8,2.0,2.15,1.65,-1.0,1.98,1.86,-0.75,2.05,1.85,-0.75,,,,,
SP1,2004-09-26,Espanol,Malaga,1,0,H,0,0,D,1.9,3.25,3.5,1.8,3.3,4.1,1.85,3.25,4.2,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.2,3.8,1.8,3.1,4.0,1.85,1.85,2.0,1.8,1.55,2.3,-0.25,2.04,1.8,-0.5,2.075,1.825,-0.5,,,,,
SP1,2004-09-26,Mallorca,Barcelona,1,3,A,0,3,A,4.33,3.25,1.72,4.1,3.3,1.8,4.75,3.4,1.73,4.0,3.2,1.75,5.0,3.5,1.57,4.33,3.4,1.73,4.33,3.2,1.72,1.75,1.95,1.8,2.0,1.85,2.0,0.75,2.08,1.76,0.75,2.1,1.8,0.75,,,,,
SP1,2004-09-26,Numancia,Albacete,0,0,D,0,0,D,2.0,3.25,3.25,1.9,3.25,3.75,2.1,3.1,3.55,2.1,3.0,3.1,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.2,3.5,1.95,1.75,2.1,1.7,1.55,2.3,0.0,1.88,1.96,-0.25,1.95,1.95,-0.25,,,,,
SP1,2004-09-26,Osasuna,Getafe,2,1,H,2,1,H,1.66,3.4,4.5,1.6,3.5,5.2,1.65,3.3,5.8,1.65,3.3,4.4,1.53,3.5,5.5,1.62,3.4,5.5,1.61,3.3,5.0,1.85,1.85,2.05,1.75,2.15,1.65,-1.0,1.82,2.02,-0.75,1.85,2.05,-0.75,,,,,
SP1,2004-09-26,Sevilla,Sociedad,2,1,H,1,1,D,1.8,3.25,4.0,1.85,3.25,3.95,1.83,3.3,4.3,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.25,4.2,1.8,3.1,4.0,1.95,1.75,2.05,1.75,1.5,2.45,-0.25,1.96,1.88,-0.75,2.05,1.85,-0.75,,,,,
SP1,2004-09-26,Valencia,Santander,2,0,H,2,0,H,1.28,4.5,8.5,1.3,4.7,8.25,1.35,4.5,8.5,1.3,4.2,8.0,1.3,4.0,9.0,1.3,4.5,9.0,1.36,3.75,8.0,1.71,2.0,1.75,2.05,1.9,1.75,-1.5,1.84,2.0,-1.25,1.9,2.0,-1.25,,,,,
