Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
F1,2004-08-21,Bastia,Ajaccio,1,0,H,0,0,D,1.9,3.1,3.75,1.95,3.0,3.75,1.95,3.1,3.6,1.9,3.0,3.6,1.8,3.2,4.0,2.0,3.0,3.5,1.9,3.0,3.75,2.2,1.55,1.95,1.67,-0.5,,,,,,,,,,,,,,,
F1,2004-08-21,Caen,Monaco,1,0,H,1,0,H,3.25,3.25,2.0,3.6,3.0,2.0,3.6,3.0,2.0,3.2,2.9,2.1,3.4,3.0,2.0,3.5,3.0,2.0,3.5,3.1,1.95,2.1,1.6,1.64,2.0,0.5,,,,,,,,,,,,,,,
F1,2004-08-21,Istres,Lens,0,2,A,0,1,A,2.75,3.0,2.37,2.85,2.9,2.4,2.75,3.0,2.4,3.1,2.8,2.2,2.6,3.2,2.38,2.88,2.88,2.38,2.9,3.0,2.25,2.2,1.55,1.85,1.95,0.25,,,,,,,,,,,,,,,
F1,2004-08-21,Lille,Bordeaux,0,0,D,0,0,D,2.1,3.25,3.0,2.3,3.0,2.9,2.25,3.0,3.0,2.3,2.8,2.9,2.1,3.2,3.0,2.2,3.0,3.1,2.25,3.1,2.8,2.1,1.6,2.25,1.5,-0.5,,,,,,,,,,,,,,,
F1,2004-08-21,Nice,Marseille,1,1,D,0,0,D,2.75,3.0,2.37,2.9,3.0,2.3,2.75,3.0,2.4,2.9,2.8,2.3,3.0,3.2,2.1,2.75,3.0,2.38,2.75,2.9,2.4,2.0,1.65,1.85,1.95,0.25,,,,,,,,,,,,,,,
F1,2004-08-21,Rennes,Nantes,1,0,H,1,0,H,2.1,3.25,3.0,2.0,3.25,3.25,2.1,3.0,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.0,3.25,2.0,3.1,3.3,2.0,1.65,1.8,2.0,-0.25,,,,,,,,,,,,,,,
F1,2004-08-21,Sochaux,Auxerre,1,2,A,1,1,D,2.0,3.25,3.25,2.15,3.0,3.2,2.1,3.0,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.0,3.25,2.05,3.1,3.2,2.0,1.65,2.1,1.57,-0.5,,,,,,,,,,,,,,,
F1,2004-08-21,St Etienne,Strasbourg,1,1,D,1,0,H,2.0,3.25,3.25,2.1,3.0,3.3,2.0,3.0,3.6,2.1,2.9,3.2,2.0,3.0,3.4,2.1,3.0,3.25,1.9,3.1,3.6,2.0,1.65,1.85,1.95,-0.25,,,,,,,,,,,,,,,
F1,2004-08-21,Toulouse,Paris SG,2,1,H,0,0,D,2.75,3.25,2.25,3.1,3.0,2.2,2.9,3.0,2.3,2.9,2.8,2.3,2.75,3.2,2.25,2.88,3.0,2.3,2.8,3.1,2.25,2.1,1.6,1.47,2.3,0.5,,,,,,,,,,,,,,,
F1,2004-08-22,Metz,Lyon,1,1,D,1,0,H,3.0,3.1,2.2,3.5,3.05,2.0,3.1,3.0,2.2,3.2,2.9,2.1,3.2,3.2,2.0,3.1,3.0,2.2,3.0,3.0,2.2,2.2,1.55,1.52,2.2,0.5,,,,,,,,,,,,,,,
F1,2004-08-27,Nice,Bastia,1,1,D,1,0,H,1.83,3.25,3.75,2.0,3.05,3.5,1.9,3.1,3.8,1.9,3.1,3.5,2.0,3.0,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.3,1.5,1.9,1.71,-0.5,,,,,,,,,,,,,,,
F1,2004-08-28,Ajaccio,Rennes,1,1,D,1,1,D,2.37,3.0,2.75,2.25,3.0,3.0,2.5,3.0,2.65,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3.0,2.75,2.37,3.0,2.7,2.2,1.55,1.85,1.95,0.0,,,,,,,,,,,,,,,
F1,2004-08-28,Auxerre,Caen,1,0,H,0,0,D,1.57,3.4,5.5,1.6,3.5,5.0,1.61,3.3,5.35,1.65,3.3,4.4,1.5,3.4,6.0,1.57,3.4,5.5,1.57,3.3,5.5,1.95,1.71,1.8,2.0,-0.75,,,,,,,,,,,,,,,
F1,2004-08-28,Bordeaux,Sochaux,2,0,H,1,0,H,2.0,3.0,3.5,1.85,3.1,4.0,2.1,3.1,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.05,3.0,3.4,1.83,3.2,3.75,2.1,1.6,1.77,2.05,-0.25,,,,,,,,,,,,,,,
F1,2004-08-28,Lens,Monaco,1,1,D,1,1,D,2.5,3.0,2.62,2.4,3.0,2.75,2.5,3.0,2.65,2.3,2.9,2.8,2.38,3.2,2.6,2.5,3.0,2.62,2.37,3.0,2.7,2.1,1.6,1.8,2.0,0.0,,,,,,,,,,,,,,,
F1,2004-08-28,Lyon,Lille,1,0,H,1,0,H,1.53,3.4,6.0,1.55,3.5,5.5,1.53,3.4,6.1,1.55,3.5,4.8,1.44,3.6,6.5,1.53,3.4,6.0,1.5,3.4,6.0,1.95,1.71,1.95,1.85,-1.0,,,,,,,,,,,,,,,
F1,2004-08-28,Marseille,Metz,1,3,A,1,1,D,1.53,3.4,6.0,1.5,3.4,6.5,1.53,3.4,6.1,1.45,3.6,5.8,1.5,3.4,6.0,1.53,3.4,6.0,1.5,3.4,6.0,1.85,1.79,2.0,1.8,-1.0,,,,,,,,,,,,,,,
F1,2004-08-28,Nantes,Toulouse,2,2,D,1,2,A,1.72,3.25,4.33,1.75,3.15,4.5,1.8,3.1,4.25,2.0,3.1,3.2,1.83,3.2,2.75,1.83,3.1,4.0,1.9,3.1,3.6,2.2,1.55,1.8,1.79,-0.5,,,,,,,,,,,,,,,
F1,2004-08-28,Strasbourg,Istres,1,1,D,1,0,H,1.83,3.25,3.75,1.85,3.25,3.75,1.85,3.1,4.0,1.8,3.1,3.8,,,,1.85,3.2,3.75,1.72,3.2,4.33,2.0,1.65,1.85,1.75,-0.5,,,,,,,,,,,,,,,
F1,2004-08-29,Paris SG,St Etienne,2,2,D,0,0,D,1.4,3.8,7.0,1.4,3.9,7.0,1.4,3.9,7.1,1.4,3.7,6.5,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.6,6.5,1.75,1.9,1.95,1.85,-1.25,,,,,,,,,,,,,,,
F1,2004-09-11,Bastia,Auxerre,1,0,H,1,0,H,2.5,3.0,2.6,2.35,3.3,2.6,2.45,3.0,2.7,2.3,2.9,2.8,2.375,3.2,2.6,2.5,3.0,2.6,2.5,3.1,2.5,2.0,1.65,1.8,2.0,0.0,,,,,,,,,,,,,,,
F1,2004-09-11,Caen,Lens,1,0,H,0,0,D,2.5,3.1,2.5,2.6,3.2,2.4,2.65,3.0,2.5,2.5,3.0,2.5,2.5,3.0,2.6,2.6,3.0,2.5,2.62,2.9,2.5,2.2,1.55,1.9,1.9,0.0,,,,,,,,,,,,,,,
F1,2004-09-11,Istres,Paris SG,1,1,D,1,0,H,3.5,3.0,2.0,4.3,3.1,1.8,3.6,3.0,2.0,3.6,3.1,1.85,3.4,3.0,2.0,3.6,3.2,1.9,3.75,3.2,1.83,1.95,1.71,1.64,2.0,0.5,,,,,,,,,,,,,,,
F1,2004-09-11,Lille,Nice,1,0,H,0,0,D,1.909,3.0,3.75,1.9,3.1,3.8,1.9,3.0,3.95,2.0,2.9,3.4,1.909,3.0,3.75,1.9,3.1,3.75,1.83,3.0,4.0,2.2,1.55,1.9,1.71,-0.5,,,,,,,,,,,,,,,
F1,2004-09-11,Metz,Bordeaux,0,0,D,0,0,D,2.25,3.2,2.75,2.2,3.2,2.9,2.3,3.0,2.9,2.3,2.9,2.8,2.25,3.0,2.875,2.25,3.1,2.87,2.2,3.0,3.0,2.1,1.6,1.75,2.08,0.0,,,,,,,,,,,,,,,
F1,2004-09-11,Monaco,Strasbourg,3,1,H,1,1,D,1.4,3.75,7.0,1.45,3.7,6.5,1.4,4.0,6.8,1.45,3.6,5.8,1.4,3.75,7.0,1.4,3.75,7.5,1.36,3.75,8.0,1.83,1.83,1.8,2.0,-1.0,,,,,,,,,,,,,,,
F1,2004-09-11,Rennes,Lyon,1,2,A,0,0,D,2.75,3.0,2.375,2.7,3.15,2.35,2.7,3.0,2.45,2.7,2.9,2.4,2.6,3.2,2.375,2.75,3.0,2.4,2.62,3.1,2.37,2.1,1.6,2.0,1.8,0.0,,,,,,,,,,,,,,,
F1,2004-09-11,St Etienne,Nantes,0,0,D,0,0,D,2.375,3.0,2.75,2.5,3.2,2.5,2.38,3.0,2.8,2.2,3.0,2.9,2.375,3.0,2.75,2.4,3.0,2.75,2.2,3.1,2.87,2.2,1.55,1.75,2.05,0.0,,,,,,,,,,,,,,,
F1,2004-09-11,Toulouse,Ajaccio,3,1,H,1,1,D,1.667,3.4,4.5,1.7,3.3,4.5,1.7,3.3,4.55,1.65,3.2,4.6,1.727,3.2,4.333,1.72,3.25,4.33,1.66,3.3,4.5,2.0,1.65,1.9,1.9,-0.75,,,,,,,,,,,,,,,
F1,2004-09-12,Sochaux,Marseille,2,0,H,1,0,H,2.3,3.0,2.875,2.5,3.05,2.6,2.4,3.0,2.75,2.4,2.9,2.7,2.375,3.2,2.6,2.5,3.0,2.62,2.4,3.1,2.6,1.95,1.71,1.8,2.0,0.0,,,,,,,,,,,,,,,
F1,2004-09-18,Ajaccio,St Etienne,1,1,D,0,1,A,2.0,3.25,3.25,2.25,3.05,2.95,2.05,3.1,3.3,2.1,2.9,3.2,2.0,3.0,3.4,2.2,3.0,3.1,2.0,3.0,3.4,2.15,1.57,1.85,1.95,-0.25,,,,,,,,,,,,,,,
F1,2004-09-18,Bordeaux,Rennes,0,0,D,0,0,D,1.8,3.25,4.0,1.7,3.3,4.5,1.75,3.15,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.8,3.25,4.0,1.66,3.2,4.8,1.95,1.71,1.95,1.85,-0.75,,,,,,,,,,,,,,,
F1,2004-09-18,Lyon,Bastia,0,0,D,0,0,D,1.44,3.75,6.5,1.4,3.9,7.0,1.5,3.75,5.6,1.5,3.5,5.4,1.5,3.4,6.0,1.53,3.4,6.0,1.4,3.75,7.0,1.9,1.75,1.95,1.85,-1.0,,,,,,,,,,,,,,,
F1,2004-09-18,Marseille,Toulouse,1,0,H,1,0,H,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.66,3.2,4.8,1.9,1.75,1.7,1.91,-0.5,,,,,,,,,,,,,,,
F1,2004-09-18,Nantes,Istres,1,0,H,0,0,D,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.65,3.2,4.6,1.67,3.2,5.0,1.67,3.25,4.75,1.61,3.3,5.0,2.1,1.6,1.95,1.85,-0.75,,,,,,,,,,,,,,,
F1,2004-09-18,Strasbourg,Lens,2,2,D,1,1,D,2.75,3.0,2.37,2.5,3.05,2.6,2.75,3.1,2.35,2.5,2.9,2.6,2.62,2.88,2.5,2.6,3.0,2.5,2.62,2.9,2.5,2.0,1.65,1.95,1.85,0.0,,,,,,,,,,,,,,,
F1,2004-09-19,Auxerre,Metz,4,0,H,3,0,H,1.83,3.25,3.75,1.85,3.1,4.0,1.85,3.2,3.85,1.8,3.1,3.8,1.8,3.0,4.33,1.91,3.1,3.75,1.83,3.0,4.0,2.1,1.6,1.85,1.75,-0.5,,,,,,,,,,,,,,,
F1,2004-09-19,Lille,Caen,2,0,H,1,0,H,1.83,3.25,3.75,1.8,3.15,4.15,1.8,3.1,4.25,1.9,3.0,3.6,1.8,3.0,4.33,1.83,3.25,3.75,1.83,3.0,4.0,2.1,1.6,1.8,1.79,-0.5,,,,,,,,,,,,,,,
F1,2004-09-19,Nice,Sochaux,2,1,H,1,1,D,2.37,3.2,2.62,2.4,3.0,2.75,2.35,3.1,2.75,2.3,2.9,2.8,2.25,3.0,2.88,2.38,3.0,2.8,2.37,3.0,2.7,2.15,1.57,1.75,2.1,0.0,,,,,,,,,,,,,,,
F1,2004-09-19,Paris SG,Monaco,0,1,A,0,0,D,2.37,3.2,2.62,2.35,3.15,2.7,2.45,3.15,2.6,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3.0,2.8,2.37,3.0,2.7,1.9,1.75,1.8,2.0,0.0,,,,,,,,,,,,,,,
F1,2004-09-21,Toulouse,Lyon,0,2,A,0,0,D,2.25,2.75,3.2,,,,2.35,2.6,3.2,2.3,2.6,3.1,2.38,2.88,2.8,2.4,2.7,3.0,2.3,2.7,3.1,2.1,1.6,1.8,2.0,0.25,,,,,,,,,,,,,,,
F1,2004-09-22,Bastia,Bordeaux,1,4,A,1,3,A,2.25,3.0,3.0,2.1,3.1,3.2,2.25,3.0,3.0,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.0,3.0,2.37,3.0,2.7,2.2,1.55,2.0,1.8,-0.25,,,,,,,,,,,,,,,
F1,2004-09-22,Caen,Strasbourg,0,0,D,0,0,D,1.83,3.1,4.0,1.9,3.15,3.7,1.85,3.1,4.05,1.85,3.0,3.8,1.91,3.0,3.75,1.85,3.0,4.2,1.8,3.0,4.2,2.1,1.6,1.85,1.76,-0.5,,,,,,,,,,,,,,,
F1,2004-09-22,Istres,Ajaccio,0,1,A,0,1,A,2.1,3.0,3.25,2.1,3.1,3.2,2.15,3.0,3.2,2.2,2.8,3.1,2.2,3.0,3.0,2.1,3.0,3.25,2.05,2.9,3.4,2.2,1.55,1.9,1.9,-0.25,,,,,,,,,,,,,,,
F1,2004-09-22,Lens,Paris SG,2,2,D,0,1,A,2.25,3.0,3.0,2.3,3.0,2.9,2.2,3.0,3.1,2.0,3.1,3.2,2.0,3.0,3.4,2.25,3.0,3.0,2.15,3.0,3.1,2.1,1.6,1.9,1.9,-0.25,,,,,,,,,,,,,,,
F1,2004-09-22,Metz,Nice,1,1,D,0,0,D,1.72,3.25,4.33,1.75,3.25,4.25,1.85,3.2,3.9,1.9,2.9,3.8,1.83,3.0,4.0,1.73,3.2,4.5,1.72,3.1,4.5,2.1,1.6,1.85,1.76,-0.5,,,,,,,,,,,,,,,
F1,2004-09-22,Monaco,Nantes,2,1,H,0,1,A,1.57,3.4,5.5,1.55,3.5,5.45,1.6,3.3,5.5,1.6,3.3,4.8,1.57,3.25,5.5,1.53,3.4,6.0,1.57,3.3,5.5,2.1,1.6,1.75,2.1,-0.75,,,,,,,,,,,,,,,
F1,2004-09-22,Rennes,Marseille,1,0,H,0,0,D,2.4,3.1,2.62,2.45,3.05,2.65,2.4,3.0,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.0,2.75,2.37,3.0,2.7,1.95,1.71,1.75,2.1,0.0,,,,,,,,,,,,,,,
F1,2004-09-22,Sochaux,Lille,0,2,A,0,0,D,1.8,3.2,4.0,1.85,3.25,3.75,1.8,3.2,4.15,1.8,3.0,4.0,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.0,2.2,1.55,1.8,1.81,-0.5,,,,,,,,,,,,,,,
F1,2004-09-22,St Etienne,Auxerre,3,1,H,3,0,H,2.5,3.0,2.62,2.55,2.9,2.65,2.55,3.0,2.6,2.6,2.8,2.6,2.75,3.0,2.38,2.62,3.0,2.5,2.5,2.9,2.62,2.0,1.65,1.85,1.95,0.0,,,,,,,,,,,,,,,
F1,2004-09-25,Ajaccio,Caen,2,2,D,1,1,D,2.2,3.0,3.1,2.1,3.1,3.2,2.2,3.0,3.1,2.1,2.9,3.2,2.1,3.0,3.2,2.2,3.0,3.1,2.1,3.0,3.2,2.45,1.45,1.8,2.0,-0.25,1.88,1.96,-0.25,,,,,,,,,,,,
F1,2004-09-25,Auxerre,Istres,0,0,D,0,0,D,1.44,3.75,6.5,1.35,4.0,8.25,1.45,3.75,6.5,1.45,3.6,5.8,1.4,3.6,7.5,1.44,3.6,7.0,1.44,3.5,7.0,2.0,1.65,1.8,2.0,-1.0,1.82,2.02,-1.0,,,,,,,,,,,,
F1,2004-09-25,Bordeaux,Toulouse,1,1,D,0,0,D,1.8,3.25,4.0,1.8,3.2,4.1,1.85,3.15,4.0,1.85,3.1,3.6,1.8,3.2,4.0,1.8,3.2,4.0,1.72,3.1,4.5,2.0,1.65,1.85,1.76,-0.5,2.04,1.8,-0.75,,,,,,,,,,,,
F1,2004-09-25,Lille,Metz,4,0,H,1,0,H,1.9,3.2,3.6,1.95,3.1,3.6,2.0,3.0,3.6,1.9,3.1,3.5,2.0,3.0,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.1,1.6,2.0,1.64,-0.5,1.98,1.86,-0.5,,,,,,,,,,,,
F1,2004-09-25,Lyon,Monaco,0,0,D,0,0,D,2.1,3.0,3.25,1.9,3.1,3.8,2.1,3.0,3.3,1.9,3.1,3.5,2.0,3.0,3.4,2.1,3.0,3.25,2.1,3.0,3.2,1.95,1.71,1.77,2.05,-0.25,1.8,2.04,-0.25,,,,,,,,,,,,
F1,2004-09-25,Marseille,Bastia,1,0,H,0,0,D,1.61,3.4,5.0,1.55,3.3,6.0,1.67,3.25,5.0,1.65,3.3,4.4,1.66,3.25,4.5,1.7,3.2,4.75,1.66,3.3,4.5,2.1,1.6,1.95,1.85,-0.75,1.94,1.9,-0.75,,,,,,,,,,,,
F1,2004-09-25,Nice,Rennes,2,0,H,2,0,H,2.2,3.0,3.1,2.25,3.1,2.9,2.2,3.0,3.1,2.2,2.9,3.0,2.2,3.0,3.0,2.2,3.0,3.1,2.2,3.0,3.0,2.2,1.55,1.85,1.95,-0.25,1.88,1.96,-0.25,,,,,,,,,,,,
F1,2004-09-25,Paris SG,Strasbourg,1,0,H,0,0,D,1.57,3.4,5.5,1.45,3.7,6.5,1.55,3.5,5.5,1.5,3.5,5.4,1.5,3.4,6.0,1.57,3.4,5.5,1.53,3.25,6.0,2.0,1.65,1.95,1.85,-1.0,2.0,1.84,-1.0,,,,,,,,,,,,
F1,2004-09-25,Sochaux,St Etienne,2,1,H,1,1,D,1.72,3.25,4.33,1.7,3.1,5.0,1.75,3.25,4.3,1.75,3.2,4.0,1.66,3.25,4.5,1.8,3.2,4.0,1.83,3.0,4.0,2.1,1.6,1.9,1.9,-0.75,1.96,1.88,-0.75,,,,,,,,,,,,
F1,2004-09-26,Nantes,Lens,1,0,H,0,0,D,2.1,3.0,3.25,2.1,3.1,3.2,2.15,3.0,3.2,2.2,2.9,3.0,2.2,3.0,3.0,2.2,3.0,3.1,2.15,2.9,3.2,2.2,1.55,1.85,1.95,-0.25,1.88,1.96,-0.25,,,,,,,,,,,,
F1,2004-10-02,Bastia,Paris SG,1,2,A,1,2,A,2.37,3.0,2.75,2.5,3.15,2.6,2.4,2.95,2.8,2.3,2.9,2.8,2.25,3.2,2.75,2.5,3.0,2.6,2.4,2.87,2.8,2.1,1.6,1.75,2.1,0.0,1.76,2.08,0.0,,,,,,,,,,,,
F1,2004-10-02,Caen,Bordeaux,1,1,D,1,0,H,2.37,3.2,2.62,2.35,3.15,2.8,2.5,3.0,2.65,2.4,2.9,2.7,2.38,3.0,2.75,2.5,3.0,2.6,2.5,2.9,2.62,2.1,1.6,1.8,2.0,0.0,1.8,2.04,0.0,,,,,,,,,,,,
F1,2004-10-02,Istres,Marseille,0,2,A,0,1,A,3.1,3.0,2.2,3.2,3.2,2.05,3.3,3.0,2.1,3.4,2.9,2.0,3.2,3.2,2.0,3.25,3.0,2.1,3.75,3.0,1.9,2.2,1.55,1.95,1.85,0.25,1.98,1.86,0.25,,,,,,,,,,,,
F1,2004-10-02,Lens,Ajaccio,1,1,D,1,1,D,1.61,3.25,5.0,1.6,3.4,5.5,1.6,3.35,5.3,1.6,3.3,4.8,1.62,3.25,5.0,1.62,3.4,5.0,1.61,3.1,5.5,2.0,1.65,1.75,2.1,-0.75,1.82,2.02,-0.75,,,,,,,,,,,,
F1,2004-10-02,Monaco,Nice,3,4,A,2,0,H,1.44,3.6,7.0,1.4,3.9,7.5,1.45,3.5,7.3,1.55,3.4,5.0,1.53,3.25,6.0,1.44,3.6,7.0,1.5,3.3,6.5,1.9,1.75,2.1,1.75,-1.25,2.08,1.76,-1.25,,,,,,,,,,,,
F1,2004-10-02,Strasbourg,Nantes,0,2,A,0,1,A,2.37,3.0,2.75,2.3,3.1,2.9,2.45,2.9,2.8,2.4,2.9,2.7,2.38,2.8,2.88,2.4,2.88,2.88,2.4,2.87,2.8,2.1,1.6,1.75,2.1,0.0,1.78,2.06,0.0,,,,,,,,,,,,
F1,2004-10-03,Metz,Sochaux,0,0,D,0,0,D,2.2,3.0,3.1,2.0,3.25,3.4,2.15,3.0,3.2,2.2,2.9,3.0,2.0,3.2,3.2,2.2,3.0,3.1,2.1,2.87,3.3,2.1,1.6,1.95,1.85,-0.25,1.98,1.86,-0.25,,,,,,,,,,,,
