Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
F1,2001-09-22,Metz,Lyon,2,0,H,1,0,H,,,,2.7,2.7,2.3,2.75,3.2,2.25,2.75,3.1,2.3,,,,3.1,2.87,2.2
F1,2001-09-22,Monaco,Lens,3,0,H,1,0,H,,,,2.1,2.8,3.0,2.4,3.25,2.5,2.25,3.1,2.8,,,,2.2,3.0,3.0
F1,2001-09-22,Rennes,Troyes,0,1,A,0,0,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.9,3.1,3.6,,,,1.83,3.2,3.75
F1,2001-09-23,Lorient,Bordeaux,0,2,A,0,0,D,,,,2.5,2.7,2.5,2.5,3.2,2.5,2.38,3.0,2.75,,,,2.37,3.0,2.7
F1,2001-09-23,Sochaux,Sedan,3,0,H,1,0,H,,,,2.0,2.7,3.2,1.8,3.2,4.0,1.91,3.1,3.6,,,,1.9,3.0,3.75
F1,2001-09-29,Bastia,Monaco,1,0,H,1,0,H,,,,2.4,2.8,2.5,2.25,3.2,2.75,2.2,3.0,3.0,,,,2.37,2.87,2.8
F1,2001-09-29,Guingamp,Marseille,1,0,H,1,0,H,,,,2.1,2.7,3.1,2.25,3.2,2.75,2.1,3.0,3.2,,,,2.25,2.87,3.0
F1,2001-09-29,Lens,Auxerre,1,1,D,1,1,D,,,,2.1,2.7,3.1,2.1,3.0,3.2,2.0,3.0,3.4,,,,1.9,2.87,4.0
F1,2001-09-29,Lyon,Rennes,4,0,H,3,0,H,,,,1.5,3.2,5.0,1.44,3.6,6.5,1.44,3.6,6.5,,,,1.44,3.5,7.0
F1,2001-09-29,Montpellier,Lorient,1,3,A,0,2,A,,,,1.8,2.8,3.8,2.1,3.0,3.2,1.91,3.2,3.5,,,,1.9,2.87,4.0
F1,2001-09-29,Nantes,Metz,0,0,D,0,0,D,,,,1.8,2.9,3.6,1.8,3.2,4.0,1.75,3.2,4.2,,,,1.9,3.0,3.75
F1,2001-09-30,Bordeaux,Paris SG,1,0,H,1,0,H,,,,2.0,2.7,3.2,2.37,3.0,2.75,2.25,3.0,2.9,2.25,3.0,2.88,2.25,2.8,3.1
F1,2001-09-30,Sedan,Lille,1,1,D,1,0,H,,,,2.3,2.7,2.7,2.62,3.2,2.37,2.6,3.0,2.5,2.5,2.88,2.62,2.62,2.87,2.5
F1,2001-09-30,Troyes,Sochaux,2,2,D,0,2,A,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.9,3.0,3.75
F1,2001-10-13,Auxerre,Troyes,1,3,A,1,1,D,,,,1.65,3.3,4.4,,,,,,,1.67,3.25,4.5,1.72,3.1,4.5
F1,2001-10-13,Lille,Nantes,1,0,H,0,0,D,,,,1.7,3.2,4.2,,,,,,,1.67,3.25,4.5,1.57,3.3,5.5
F1,2001-10-13,Lorient,Lens,2,3,A,1,3,A,,,,2.5,2.7,2.8,,,,,,,2.5,2.88,2.62,2.5,2.9,2.62
F1,2001-10-13,Metz,Marseille,0,2,A,0,1,A,,,,2.1,2.8,3.3,,,,,,,2.1,3.0,3.2,2.0,3.0,3.4
F1,2001-10-13,Monaco,Sedan,2,0,H,0,0,D,,,,1.6,3.4,4.6,,,,,,,1.62,3.25,5.0,1.61,3.3,5.0
F1,2001-10-13,Montpellier,Bordeaux,0,0,D,0,0,D,,,,2.8,2.7,2.5,,,,,,,2.6,3.0,2.5,2.87,2.8,2.4
