Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,2001-09-29,Juventus,Roma,0,2,A,0,1,A,,,,1.9,2.8,3.3,,,,1.91,3.1,3.75,1.91,3.0,3.75,1.83,3.0,4.0
I1,2001-09-30,Brescia,Atalanta,3,3,D,1,3,A,,,,1.7,2.9,4.2,1.8,3.2,4.0,1.85,3.0,4.0,1.91,3.0,3.75,1.83,3.0,4.0
I1,2001-09-30,Fiorentina,Venezia,3,1,H,1,0,H,,,,1.5,3.2,5.0,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.6,6.5,1.5,3.6,5.5
I1,2001-09-30,Inter,Bologna,1,0,H,1,0,H,,,,1.45,3.5,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.0,1.44,3.6,6.5
I1,2001-09-30,Lazio,Parma,0,0,D,0,0,D,,,,1.7,3.0,4.0,1.8,3.2,4.0,2.0,3.1,3.4,1.83,3.0,4.0,1.9,3.1,3.6
I1,2001-09-30,Perugia,Milan,3,1,H,0,0,D,,,,3.3,2.8,1.9,4.0,3.2,1.8,4.2,3.1,1.8,4.0,3.0,1.83,4.0,2.87,1.9
I1,2001-09-30,Piacenza,Torino,3,1,H,2,0,H,,,,2.0,2.6,3.4,2.0,2.8,3.75,2.0,2.9,3.6,2.0,2.88,3.6,1.9,2.87,4.0
I1,2001-09-30,Udinese,Chievo,1,2,A,1,2,A,,,,1.65,3.1,4.0,1.83,3.2,3.75,2.0,2.9,3.6,2.0,2.88,3.6,1.9,3.2,3.5
I1,2001-09-30,Verona,Lecce,2,1,H,1,1,D,,,,2.0,2.6,3.4,2.1,3.0,3.2,2.0,2.9,3.6,1.91,3.0,3.75,1.9,2.87,4.0
I1,2001-10-13,Lazio,Atalanta,2,0,H,1,0,H,,,,1.5,3.5,5.5,,,,,,,1.5,3.25,6.5,1.4,3.6,7.5
I1,2001-10-13,Perugia,Roma,0,0,D,0,0,D,,,,3.4,2.9,2.0,3.2,3.0,2.1,,,,3.75,3.0,1.91,3.6,2.87,2.0
I1,2001-10-14,Brescia,Chievo,2,2,D,0,1,A,,,,1.9,2.9,3.8,2.1,3.0,3.2,,,,2.1,2.8,3.4,2.0,3.1,3.3
I1,2001-10-14,Juventus,Torino,3,3,D,3,0,H,,,,1.5,3.5,5.5,1.5,3.4,6.0,,,,1.44,3.5,7.0,1.4,3.5,8.0
I1,2001-10-14,Lecce,Fiorentina,4,1,H,2,1,H,,,,2.2,2.8,3.1,2.25,2.87,3.0,,,,2.2,2.8,3.2,2.1,2.87,3.3
I1,2001-10-14,Milan,Venezia,1,1,D,1,0,H,,,,1.2,5.0,10.0,1.2,5.0,11.0,,,,1.2,5.0,11.0,1.2,5.0,11.0
