Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
D1,2003-08-09,Munich 1860,Schalke 04,1,1,D,1,0,H,10,13,21,20,4,2,2,0,0,0,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.38,3.2,2.63,2.37,3.2,2.62,2.3,3.2,2.62,1.75,1.95,1.8,1.9,1.9,1.9,0.0,1.95,1.9,0.0,1.875,2.025,0.0,,,,,
D1,2003-09-20,FC Koln,Wolfsburg,2,3,A,1,2,A,21,17,14,24,6,5,3,4,0,0,2.37,3.25,2.7,2.3,3.25,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.4,3.1,2.6,1.65,2.05,1.8,1.9,2.08,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,
D1,2003-09-20,Freiburg,Schalke 04,2,1,H,2,1,H,13,15,11,28,9,6,1,4,0,0,2.5,3.2,2.6,2.45,3.25,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62,1.65,2.05,1.72,2.0,1.85,1.95,0.0,1.8,2.05,0.0,1.8,2.1,0.0,,,,,
D1,2003-09-20,Hannover,M'gladbach,2,0,H,1,0,H,17,9,10,17,12,3,2,2,0,0,1.72,3.4,4.5,1.8,3.3,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.5,1.75,3.25,4.2,1.66,3.3,4.5,1.65,2.05,1.72,2.0,1.95,1.85,-0.75,1.9,1.95,-0.75,1.9,2.0,-0.75,,,,,
D1,2003-09-20,Stuttgart,Dortmund,1,0,H,0,0,D,15,4,13,15,6,1,3,2,0,0,2.3,3.25,2.8,2.35,3.15,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.8,2.2,3.2,2.8,1.75,1.95,1.8,1.9,2.0,1.8,-0.25,2.05,1.8,-0.25,2.1,1.8,-0.25,,,,,
D1,2003-09-20,Werder Bremen,Munich 1860,2,1,H,0,0,D,12,10,26,17,1,2,3,1,0,0,1.72,3.4,4.5,1.7,3.4,4.6,1.75,3.2,4.0,1.73,3.4,4.0,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.2,4.33,1.65,2.05,1.72,2.0,2.0,1.8,-0.75,1.95,1.9,-0.75,1.95,1.95,-0.75,,,,,
D1,2003-09-21,Ein Frankfurt,Kaiserslautern,1,3,A,0,1,A,15,21,19,25,6,6,3,2,1,0,2.2,3.4,2.87,2.25,3.3,2.85,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3.0,1.75,1.95,1.8,1.9,2.0,1.8,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25,,,,,
D1,2003-09-21,Hamburg,Hansa Rostock,2,1,H,0,1,A,20,6,23,30,10,5,2,3,0,0,1.8,3.4,4.0,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.4,4.0,1.75,3.4,4.0,1.83,3.2,3.75,1.71,2.0,1.83,1.83,2.05,1.75,-0.75,2.0,1.85,-0.75,2.05,1.85,-0.75,,,,,
D1,2003-09-27,Dortmund,Freiburg,1,0,H,0,0,D,16,12,14,14,5,7,0,2,0,0,1.44,3.75,6.5,1.51,3.75,6.0,1.55,3.5,4.8,1.5,3.4,6.0,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.75,6.0,1.65,2.05,1.66,2.1,1.95,1.85,-1.0,1.85,2.0,-0.75,1.8,2.1,-0.75,,,,,
D1,2003-09-27,FC Koln,Werder Bremen,1,4,A,0,2,A,6,27,16,17,1,8,3,2,0,0,2.7,3.2,2.3,2.8,3.2,2.35,2.7,3.0,2.3,2.75,3.25,2.2,2.88,3.25,2.2,2.8,3.25,2.2,2.75,3.2,2.25,1.65,2.05,1.72,2.0,1.85,1.95,0.25,1.9,1.95,0.25,1.875,2.025,0.25,,,,,
